ClusterID,Latitude,Longitude
100412,-35.85585585585586,148.64864864864865
101407,-36.21621621621622,146.84684684684683
92411,-32.97297297297297,148.28828828828827
96417,-34.41441441441441,150.45045045045043
97404,-34.77477477477478,145.76576576576576
94397,-33.69369369369369,143.24324324324323
87423,-31.17117117117117,152.6126126126126
96416,-34.41441441441441,150.0900900900901
93419,-33.33333333333333,151.17117117117115
97411,-34.77477477477478,148.28828828828827
91420,-32.61261261261261,151.53153153153153
97414,-34.77477477477478,149.36936936936937
89421,-31.89189189189189,151.89189189189187
95406,-34.05405405405405,146.48648648648648
90414,-32.25225225225225,149.36936936936937
88416,-31.53153153153153,150.0900900900901
90423,-32.25225225225225,152.6126126126126
92412,-32.97297297297297,148.64864864864865
99411,-35.4954954954955,148.28828828828827
92421,-32.97297297297297,151.89189189189187
86391,-30.81081081081081,141.08108108108107
79423,-28.288288288288285,152.6126126126126
99416,-35.4954954954955,150.0900900900901
89422,-31.89189189189189,152.25225225225225
89411,-31.89189189189189,148.28828828828827
95418,-34.05405405405405,150.8108108108108
95419,-34.05405405405405,151.17117117117115
92420,-32.97297297297297,151.53153153153153
100416,-35.85585585585586,150.0900900900901
86407,-30.81081081081081,146.84684684684683
80425,-28.648648648648646,153.33333333333331
81425,-29.00900900900901,153.33333333333331
91416,-32.61261261261261,150.0900900900901
82417,-29.36936936936937,150.45045045045043
94419,-33.69369369369369,151.17117117117115
98411,-35.13513513513514,148.28828828828827
91413,-32.61261261261261,149.009009009009
99417,-35.4954954954955,150.45045045045043
92413,-32.97297297297297,149.009009009009
101416,-36.21621621621622,150.0900900900901
80424,-28.648648648648646,152.97297297297297
91421,-32.61261261261261,151.89189189189187
93413,-33.33333333333333,149.009009009009
91415,-32.61261261261261,149.7297297297297
97418,-34.77477477477478,150.8108108108108
79425,-28.288288288288285,153.33333333333331
102415,-36.57657657657658,149.7297297297297
84402,-30.09009009009009,145.04504504504504
96401,-34.41441441441441,144.68468468468467
93420,-33.33333333333333,151.53153153153153
85424,-30.45045045045045,152.97297297297297
97410,-34.77477477477478,147.92792792792793
95416,-34.05405405405405,150.0900900900901
99414,-35.4954954954955,149.36936936936937
83424,-29.72972972972973,152.97297297297297
97417,-34.77477477477478,150.45045045045043
96418,-34.41441441441441,150.8108108108108
97413,-34.77477477477478,149.009009009009
95417,-34.05405405405405,150.45045045045043
100407,-35.85585585585586,146.84684684684683
94417,-33.69369369369369,150.45045045045043
97403,-34.77477477477478,145.4054054054054
